관리번호,지역(시),지역(읍/면/동),경도,위도,경사정도(0 / 1 / 2),원지정비(O / X),나무간격(m),시설(보유 설비),당도(brix)_2020년 11월 1주차,당도(brix)_2020년 11월 2주차,당도(brix)_2020년 11월 3주차,당도(brix)_2020년 11월 4주차,당도(brix)_2020년 12월 1주차
1,서귀포시,대포동,126.45243,33.26969,1,O,4.5,"우산식, 스프링쿨러",11.49,11.3,11.81,12.22,12.08
2,서귀포시,상예동,126.3950427,33.2520233,0,O,5,"개폐기, 우산식, 스프링쿨러",11.58,12.26,12.58,12.84,
3,서귀포시,하예동,126.3762457,33.2368537,0,O,4.5,"점적호스, 개폐기, 우산식, 스프링쿨러, 방풍망",11.79,12.8,13.16,13.7,
4,제주시,애월읍,126.3954779,33.4612741,1,O,4.5,"점적호스, 개폐기, 우산식",10.98,11.89,12.47,,
5,제주시,애월읍,126.4819697,33.3701721,0,O,4,"점적호스, 개폐기, 우산식, 방풍망",10.98,11.52,11.93,,
8,제주시,조천읍,126.6424501,33.5060423,0,O,4.5,"점적호스, 개폐기, 우산식, 방풍망",12.43,12.39,13.02,,
10,제주시,조천읍,126.6426894,33.5070493,0,O,4.5,"점적호스, 개폐기, 우산식, 스프링쿨러, 방풍망, 방상팬",10.31,10.68,11.46,11.38,
11,서귀포시,남원읍,126.6740675,33.3305697,0,O,4,점적호스,10.25,10.57,11.06,11.12,11.94
13,서귀포시,남원읍,126.6973516,33.2847894,1,O,4.5,"점적호스, 우산식, 스프링쿨러, 방풍망",10.33,11.35,10.88,11.26,11.65
14,서귀포시,표선면,126.7570659,33.3368937,1,O,4,"점적호스, 개폐기, 우산식",11.21,11.77,12.29,12.79,
15,서귀포시,남원읍,126.6580882,33.3060336,2,O,3.5,"점적호스, 스프링쿨러",10.98,11.97,12,12.02,12.83
16,서귀포시,표선면,126.7063341,33.3988071,0,O,4,개폐기,11.31,11.74,11.9,12.62,
17,서귀포시,동홍동,126.5638885,33.2724961,0,O,4,"점적호스, 개폐기, 우산식, 스프링쿨러, 방풍망",11.04,11.31,,,
18,서귀포시,서홍동,126.5409068,33.2800219,1,O,4,"점적호스, 개폐기, 우산식, 스프링쿨러",10.45,11.32,,,
19,서귀포시,서홍동,126.5441828,33.2647629,0,O,4.5,"점적호스, 개폐기, 우산식, 스프링쿨러, 방풍망",11.63,12,12.07,,
20,서귀포시,남원읍,126.7162027,33.2878383,0,O,4.5,"점적호스, 우산식, 스프링쿨러, 방풍망",10.82,11.68,11.36,12.17,11.95
21,서귀포시,남원읍,126.7238262,33.3109686,0,O,4.5,"우산식, 스프링쿨러, 방풍망",10.42,10.62,10.81,11.14,11.73
22,제주시,조천읍,126.6352199,33.5247654,0,O,4,"점적호스, 개폐기",10.81,10.96,11.23,11.31,
23,제주시,애월읍,126.3670449,33.4501563,0,O,4,"점적호스, 개폐기, 우산식, 방풍망",10.72,11.83,12.09,12.63,12.94
24,서귀포시,남원읍,126.5884214,33.3420367,0,O,3.5,"개폐기, 우산식",11.65,11.71,12.2,11.96,12.33
25,서귀포시,대포동,126.44612,33.24848,1,O,4.5,"개폐기, 우산식, 스프링쿨러",11.92,12.34,12.79,13.51,13.86
26,서귀포시,대포동,126.4352216,33.2435151,0,O,4,"점적호스, 개폐기, 우산식",11.47,11.74,12.06,,
27,서귀포시,남원읍,126.6580882,33.3060336,0,O,4,"개폐기, 우산식, 스프링쿨러",11.09,11.43,12,12.24,
28,서귀포시,남원읍,126.6580882,33.3060336,2,O,4,개폐기,11.21,11.81,12.06,,
30,제주시,애월읍,126.3456551,33.4355869,0,O,3.5,우산식,11.17,11.48,12.29,12.47,12.52
31,제주시,애월읍,126.3505941,33.3689588,0,O,4,점적호스,10.35,11.13,11.18,11.57,11.75
32,서귀포시,하원동,126.45619,33.25666,1,O,4.5,"점적호스, 개폐기, 우산식, 스프링쿨러, 방풍망",12.35,12.49,12.83,13.45,
33,서귀포시,하원동,126.47112,33.27863,0,O,3.5,점적호스,10.28,10.57,,,
34,서귀포시,신효동,126.6083754,33.2602758,1,O,4.5,우산식,10.01,10.81,11.04,,
35,서귀포시,남원읍,126.6297939,33.299995,0,X,4.2,개폐기,11.25,11.26,12.03,,
36,서귀포시,남원읍,126.5884214,33.3420367,1,O,5,"점적호스, 우산식, 스프링쿨러, 방풍망",10.25,10.71,10.92,11.44,12.18
37,서귀포시,안덕면,126.3527725,33.2659768,0,O,4.5,점적호스,10.2,10.96,11.17,11.88,11.98
38,서귀포시,도순동,126.4773326,33.2713948,0,O,4,"점적호스, 개폐기, 우산식, 스프링쿨러, 방풍망(일부)",11.52,11.83,12.42,12.9,12.87
39,서귀포시,토평동,127.1490031,37.5782765,1,O,4,"점적호스, 개폐기(일부), 스프링쿨러(일부)",10.07,11.18,11.28,,
40,서귀포시,토평동,127.1490031,37.5782765,0,O,4.5,"점적호스, 개폐기, 우산식, 방풍망",10.51,10.53,10.77,,
41,서귀포시,대정읍,126.2656908,33.2359733,0,O,5,"점적호스, 방풍망",10.43,10.71,11.73,12.15,12.55
42,서귀포시,상효동,126.6125923,33.2793966,1,O,4,우산식,11.63,11.94,12.42,,
43,서귀포시,남원읍,126.7555417,33.3212506,0,O,4.5,"점적호스, 개폐기, 우산식, 방풍망",10.33,10.96,11.08,12.18,12.02
44,서귀포시,남원읍,126.6980129,33.3508829,0,O,4.5,개폐기,11.42,11.5,11.93,12.3,12.46
45,서귀포시,성산읍,126.853227,33.3544045,0,O,4.5,"점적호스, 개폐기, 우산식, 방풍망",12.96,13.3,13.69,,
46,서귀포시,대정읍,126.2937052,33.2577332,0,O,3.5,"점적호스, 개폐기, 방풍망",11.62,12.37,12.7,13.5,12.68
47,제주시,한경면,126.2277915,33.3299605,0,O,4.5,"점적호스, 개폐기, 우산식, 스프링쿨러",11.28,12.28,12.89,,
49,서귀포시,남원읍,126.7434993,33.3251515,2,X,4,"점적호스, 개폐기, 우산식(일부)",10.36,10.78,11.02,11.23,11.88
50,서귀포시,남원읍,126.7563774,33.294844,0,O,4.5,"개폐기, 우산식, 스프링쿨러",9.62,10.02,10.47,10.71,11.48
